ᎡᎦ	e³ga	ee3ga
ᎢᎾᏓᎪᏩᏘᎭ	i¹nạ²da²gowh²tị³ha	ii1na2daa2gowh2ti3ha
ᏚᎾᏓᏙᎵᏨᎢ	du¹nạ²da²dohl²jv²³ɂi	duu1na2daa2dohl2jvv23-i
ᎢᏓᏓᎪᏩᏘᎭ	i¹dạ²da²gowh²tị³ha	ii1da2daa2gowh2ti3ha
ᎩᎾᏓᏚᎵᎭ	gị²nạ²dạ²du²lị³ha	gi2na2da2duu2li3ha
ᎣᏣᏓᎪᏩᏘᎭ	o¹jạ²da²gowh²tị³ha	oo1ja2daa2gowh2ti3ha
ᏕᎩᎾᏓᏙᎵᏨᎢ	de²gị²nạ²da²dohl²jv²³ɂi	dee2gi2na2daa2dohl2jvv23-i
ᏕᏍᏓᏓᏚᎳ	de²sdạ²dạ²du²³la²	dee2sdaa2da2duu23la2
ᏙᎩᎾᏓᏙᎵᏨᎢ	do¹gị²nạ²da²dohl²jv²³ɂi	doo1gi2na2daa2dohl2jvv23-i
ᎣᎩᎾᏓᏚᎵᎭ	o¹gị²nạ²dạ²du²lị³ha	oo1gi2na2da2duu2li3ha
ᏫᎦᏓᏙᎵᎩ	wị²gạ²da²dohl²gi	wi2ga2daa2dohl2gi
ᏕᎾᏓᎪᏩᏘᎭ	de³nạ²da²gowh²tị³ha	dee3na2daa2gowh2ti3ha
ᏕᏓᏓᎪᏩᏘᎭ	de³dạ²da²gowh²tị³ha	dee3da2daa2gowh2ti3ha
ᎣᏍᏓᏓᎪᏩᏘᎭ	o¹sdạ²da²gowh²tị³ha	oo1sda2daa2gowh2ti3ha
ᏫᏦᏣᏓᎪᏩᏔ	wị²jo¹jạ²da²go¹wah²ta	wi2joo1ja2daa2goo1wah2ta
ᏫᏗᎾᏓᎪᏩᏔ	wị²dị²nạda²go¹wah²ta	wi2di2nadaa2goo1wah2ta
ᏫᏦᏍᏓᏓᎪᏩᏔ	wị²jo¹sdạ²da²go¹wah²ta	wi2joo1sda2daa2goo1wah2ta
ᎯᎠ	hị²ɂa	hi2-a
ᎪᎵᎦ	go²li¹ga²	goo2lii1ga2
ᏤᏅᏍᏗ	je²nv¹sdi	jee2nvv1sdi
ᎯᎦ	hị²ga²	hi2ga2
ᎪᎵᎦ	gohl²ga	gohl2ga
ᎠᏇᏅᏍᏗ	a¹gwe²nv¹sdi	aa1gwee2nvv1sdi
ᎯᎪᏩᏛᏗ	hi²gowh²tvh³di	hii2gowh2tvh3di
ᏍᏕᎾ	sde¹na²	sdee1na2
ᏍᏆᏚᎳ	sgwạ²du²³la²	sgwa2duu23la2
ᏚᎪᎲᎢ	du²go²hv²³ɂi	duu2goo2hvv23-i
ᎠᎾᏓ	a¹nạ²da²	aa1na2da2
ᎢᎦᏘᏗ	i¹gạt²di	ii1gat2di
ᎢᎾᏓ	i¹nạ²da²	ii1na2da2
ᎠᎦᏚᎸᏗ	a¹gạ²duhl²di	aa1ga2duhl2di
ᎢᏓᏓ	i¹dạ²da²	ii1da2da2
ᎣᎦᏘᏗ	o¹gạt²di	oo1gat2di
ᏍᏛᎪᏩᏛᏗ	sdv²gowh²tvh³di	sdvv2gowh2tvh3di
ᎢᏤᎾ	i¹je¹na²	ii1jee1na2
ᎤᏩᏌ	ụ²wa⁴sa	uu2waa4sa
ᎤᏂᎩᏍᏗ	u¹ni²gi¹sdi	uu1nii2gii1sdi
ᎣᏣᏓ	o¹jạ²da²	oo1ja2da2
ᎩᏁᏅᏍᏗ	gị²ne²nv¹sdi	gi2nee2nvv1sdi
ᎣᏍᏓᏓ	o²sdạ²da²	oo2sda2da2
ᎡᎪᎵᎪᎢ	e¹go²li²go³ɂi	ee1goo2lii2goo3-i
ᎣᎩᎾᏘᏗ	o¹gị²nạt²di	oo1gi2nat2di
ᏦᎦᏤᎵᎢ	jo¹gạ²je²li⁴ɂi	joo1gaa2jee2lii4-i
ᎡᏃᎵᎪᎢ	e¹no²li²go³ɂi	ee1noo2lii2goo3-i
ᏓᏂᎩᏍᎪᎢ	da¹ni²gi³sgo³ɂi	daa1nii2gii3sgoo3-i
ᎡᏙᎵᎪᎢ	e¹do²li²go³ɂi	ee1doo2lii2goo3-i
ᎠᏓᎪᏩᏘᏍᎪᎢ	a¹da²gowh²ti²³sgọ³ɂi	aa1daa2gowh2tii23sgo3-i
ᎡᏦᎵᎪᎢ	e¹jo²li²go³ɂi	ee1joo2lii2goo3-i
ᏗᏣᏤᎵᎢ	dị²jạ²je²li⁴ɂi	di2jaa2jee2lii4-i
ᏕᏍᏗᎮᏍᏗ	de²sdi²he³sdi	dee2sdii2hee3sdi
ᏕᏥᎮᏍᏗ	de³ji²he³sdi	dee3jii2hee3sdi
ᏗᎩᎩᏍᏗ	dị¹gị²gi¹sdi	di1gi2gii1sdi
ᎥᏆᏚᎸᏗ	v¹gwạ²duhl²di	vv1gwa2duhl2di
ᏦᎩᎾᏤᎵᎢ	jo¹gị²nạ²je²li⁴ɂi	joo1gi2naa2jee2lii4-i
ᎨᎾᏚᎳ	ge²nạ²du²³la²	gee2na2duu23la2
ᎨᎩᎪᎲᎢ	ge²gi²go²hv²³ɂi	gee2gii2goo2hvv23-i
ᎨᏓᏚᎳ	ge²dạ²du²³la²	gee2da2duu23la2
ᎪᎩᎪᎲᎢ	go²gi²go²hv²³ɂi	goo2gii2goo2hvv23-i
ᎪᏥᎪᎲᎢ	go²ji²go²hv²³ɂi	goo2jii2goo2hvv23-i
ᎨᏦᎵᎪᎢ	ge²johl²go³ɂi	gee2johl2goo3-i
ᏧᏃᎵᏍᏗ	ju¹no²hlị³sdi	juu1noo2hli3sdi
ᏕᎦᏚᎳ	de³gạ²du²³la²	dee3ga2duu23la2
ᎢᏍᎩᎪᏩᏛᏗ	i¹sgi²gowh²tvh³di	ii1sgii2gowh2tvh3di
ᎡᏣᎪᎲᎢ	e¹jạ²go²hv²³ɂi	ee1ja2goo2hvv23-i
ᏕᎪᎵᎪᎢ	de²gohl²go³ɂi	dee2gohl2goo3-i
ᎦᎯᎪᏩᏛᏗ	gạ²hi²gowh²tvh³di	ga2hii2gowh2tvh3di
ᎢᏨᏲᎵᏍᏗ	i¹jv²yo²li³sdi	ii1jvv2yoo2lii3sdi
ᎡᏍᏙᎵᎪᎢ	e¹sdo²li²go³ɂi	ee1sdoo2lii2goo3-i
ᎨᏍᏙᎵᎪᎢ	ge²sdohl²go³ɂi	gee2sdohl2goo3-i
ᎦᏓᎪᏩᏘᏍᎪᎢ	gạ²da²gowh²ti²³sgọ³ɂi	ga2daa2gowh2tii23sgo3-i
ᎤᏓᏙᎵᏨᎢ	u¹da²dohl²jv²³ɂi	uu1daa2dohl2jvv23-i
ᎦᏥᎪᏩᏘᎭ	gạ²ji²gowh²tị³ha	ga2jii2gowh2ti3ha
ᎪᏍᏗᎪᎲᎢ	go²sdi²go²hv²³ɂi	goo2sdii2goo2hvv23-i
ᏫᎬᏉᎵᎩ	wị²gv²gwohl²gi	wi2gvv2gwohl2gi
ᏍᎩᏃᎵᎦ	sgi²̣nohl²ga²	sgii2nohl2ga2
ᎭᏓᎪᏩᏘᏍᎪᎢ	hạ²da²gowh²ti²³sgọ³ɂi	haa2daa2gowh2tii23sgo3-i
ᎡᎩᏃᎵᎪᎢ	e¹gị²no²li²go³ɂi	ee1gi2noo2lii2goo3-i
ᏕᎯᎪᏩᏘᎭ	de²hị²gowh²tị³ha	dee2hi2gowh2ti3ha
ᏣᏓᏙᎵᏨᎢ	jạ²da²dohl²jv²³ɂi	ja2daa2dohl2jvv23-i
ᏕᏂᎪᏩᏘᎭ	de³ni²gowh²tị³ha	dee3nii2gowh2ti3ha
ᎠᏆᏓᏙᎵᏨᎢ	a¹gwạ²da²dohl²jv²³ɂi	aa1gwaa2daa2dohl2jvv23-i
ᏕᏗᎪᏩᏘᎭ	de³di²gowh²tị³ha	dee3dii2gowh2ti3ha
ᎢᎦᏓᏙᎵᏨᎢ	i¹gạ²da²dohl²jv²³ɂi	ii1ga2daa2dohl2jvv23-i
ᎣᎦᏓᏙᎵᏨᎢ	o¹gạ²da²dohl²jv²³ɂi	oo1ga2daa2dohl2jvv23-i
ᏫᏦᏥᎪᏩᏔ	wị²jo¹ji²go¹wah²ta	wi2joo1jii2goo1wah2ta
ᎤᎾᏓᏙᎵᏨᎢ	u¹nạ²da²dohl²jv²³ɂi	uu1na2daa2dohl2jvv23-i
ᏕᎩᎾᏚᎳ	de²gị²nạ²du²³la²	dee2gi2na2duu23la2
ᎨᎩᏂᎪᎲᎢ	ge²gị²ni²go²hv²³ɂi	gee2gi2nii2goo2hvv23-i
ᏍᏓᏓᏙᎵᎦ	sdạ²da²dohl²ga²	sdaa2daa2dohl2ga2
ᎠᎾᏓᎪᏩᏘᏍᎪᎢ	a¹nạ²da²gowh²ti²³sgọ³ɂi	aa1naa2daa2gowh2tii23sgo3-i
ᎪᎩᏂᎪᎲᎢ	go²gị²ni²go²hv²³ɂi	goo2gi2nii2goo2hvv23-i
ᎢᎾᏓᎪᏩᏘᏍᎪᎢ	i¹nạ²da²gowh²ti²³sgọ³ɂi	ii1na2daa2gowh2tii23sgo3-i
ᏗᏣᏓᎪᏩᏔ	dị²jạ²da²go¹wah²ta	di2ja2daa2goo1wah2ta
ᎩᎾᏓᏙᎵᏨᎢ	gị²nạ²da²dohl²jv²³ɂi	gi2na2daa2dohl2jvv23-i
ᎢᏓᏓᎪᏩᏘᏍᎪᎢ	i¹dạ²da²gowh²ti²³sgọ³ɂi	ii1da2daa2gowh2tii23sgo3-i
ᎢᏣᏓᏙᎵᎦ	i¹jạ²da²dohl²ga²	ii1ja2daa2dohl2ga2
ᎣᎩᎾᏓᏙᎵᏨᎢ	o¹gị²nạ²da²dohl²jv²³ɂi	oo1gi2na2daa2dohl2jvv23-i
ᏗᎦᏓᎪᏩᏛᏗ	dị²gạ²da²gowh²tvh³di	di2ga2daa2gowh2tvh3di
ᎣᏣᏓᎪᏩᏘᏍᎪᎢ	o¹jạ²da²gowh²ti²³sgọ³ɂi	oo1ja2daa2gowh2tii23sgo3-i
ᏫᎨᏣᎪᏩᏔ	wị²ge²jạ²go¹wah²ta	wi2gee2ja2goo1wah2ta
ᏓᎾᏓᎪᏩᏘᏍᎪᎢ	da¹nạ²da²gowh²ti²³sgọ³ɂi	daa1naa2daa2gowh2tii23sgo3-i
ᏕᎾᏓᎪᏩᏘᏍᎪᎢ	de³nạ²da²gowh²ti²³sgọ³ɂi	dee3na2daa2gowh2tii23sgo3-i
ᏫᏦᎦᏓᏚᎳ	wị²jo¹gạ²dạ²du²³la	wi2joo1ga2da2duu23la
ᏕᏓᏓᎪᏩᏘᏍᎪᎢ	de³dạ²da²gowh²ti²³sgọ³ɂi	dee3da2daa2gowh2tii23sgo3-i
ᏫᏦᏍᏗᎪᏩᏔ	wị²jo¹sdi²go¹wah²ta	wi2joo1sdii2goo1wah2ta
ᏗᎩᎾᏓᎪᏩᏛᏗ	dị²gị²nạ²da²gowh²tvh³di	di2gi2na2daa2gowh2tvh3di
ᏫᏧᎾᏓᏚᎳ	wị²ju¹nạ²dạ²du²³la	wi2juu1na2da2duu23la
ᏙᏣᏓᎪᏩᏘᏍᎪᎢ	do¹jạ²da²gowh²ti²³sgọ³ɂi	doo1ja2daa2gowh2tii23sgo3-i
ᏗᏍᏓᏓᎪᏩᏔ	dị²sdạ²da²go¹wah²ta	di2sdaa2daa2goo1wah2ta
ᎣᏍᏓᏓᎪᏩᏘᏍᎪᎢ	o¹sdạ²da²gowh²ti²³sgọ³ɂi	oo1sda2daa2gowh2tii23sgo3-i
ᏫᏗᏥᎪᏩᏔ	wị²dị²jị²go¹wah²ta	wi2di2ji2goo1wah2ta
ᏫᏦᎩᎾᏓᏚᎳ	wị²jo¹gị²nạ²dạ²du²³la	wi2joo1gi2na2da2duu23la
ᏙᏍᏓᏓᎪᏩᏘᏍᎪᎢ	do¹sdạ²da²gowh²ti²³sgọ³ɂi	doo1sda2daa2gowh2tii23sgo3-i
ᏂᎯ	nị²hi	ni2hi
ᎠᏗᎭ	ạ²dị²ha	a2di2ha
ᎤᏘᏗ	ut²di	uut2di
ᏦᎵᏍᏗ	jo²hlị³sdi	joo2hli3sdi
ᎬᎪᏩᏘᎭ	gv²gowh²tị³ha	gvv2gowh2ti3ha
ᏚᏚᎳ	du²du²³la²	duu2duu23la2
ᎰᎵᎦ	hohl²ga	hohl2ga
ᏍᏗᎦ	sdi²ga²	sdii2ga2
ᏥᎴᎦ	jịɂ³le¹ga	ji-3lee1ga
ᏥᎪᏩᏘᎭ	ji²gowh²tị³ha	jii2gowh2ti3ha
ᎠᎪᎵᏨᎢ	a¹go²li²jv²³ɂi	aa1goo2lii2jvv23-i
ᎢᎨᏅᏍᏗ	i¹ge²nv¹sdi	ii1gee2nvv1sdi
ᏍᏆᏚᎸᏗ	sgwạ²duhl²di	sgwa2duhl2di
ᎠᏉᎵᏍᏗ	a¹gwo²hlị³sdi	aa1gwoo2hli3sdi
ᎣᎨᏅᏍᏗ	o¹ge²nv¹sdi	oo1gee2nvv1sdi
ᎠᏃᎵᎦ	a¹nohl²ga	aa1nohl2ga
ᎡᎦᏚᎳ	e¹gạ²du²³la²	ee1ga2duu23la2
ᎤᏂᎬᎢ	u¹ni²gv²³ɂi	uu1nii2gvv23-i
ᏓᎪᏩᏘᎭ	dạ²gowh²tị³ha	da2gowh2ti3ha
ᎢᏥᎦ	i¹ji²ga²	ii1jii2ga2
ᎡᎾᏚᎳ	e¹nạ²du²³la²	ee1na2duu23la2
ᎡᏓᏚᎳ	e¹dạ²du²³la²	ee1da2duu23la2
ᎣᎩᏁᏅᏍᏗ	o¹gị²ne²nv¹sdi	oo1gi2nee2nvv1sdi
ᎡᏣᏚᎳ	e¹jạ²du²³la²	ee1ja2duu23la2
ᏧᎾᏤᎵᎢ	ju¹nạ²je²li⁴ɂi	juu1naa2jee2lii4-i
ᎩᏂᎩᏍᏗ	gị²ni²gi¹sdi	gi2nii2gii1sdi
ᎯᏯᏚᎳ	hi²yạ²du²³la	hii2ya2duu23la
ᏕᏍᏗᎲᎢ	de²sdi²hv²³ɂi	dee2sdii2hvv23-i
ᏗᏆᏤᎵᎢ	dị¹gwạ²je²li⁴ɂi	di1gwaa2jee2lii4-i
ᏗᏣᎩᏍᏗ	dị²jạ²gi¹sdi	di2ja2gii1sdi
ᎢᏃᎵᎦ	i¹nohl²ga	ii1nohl2ga
ᎢᏙᎵᎦ	i¹dohl²ga	ii1dohl2ga
ᏕᏥᎲᎢ	de³ji²hv²³ɂi	dee3jii2hvv23-i
ᎥᏉᎵᏨᎢ	v¹gwohl²jv²³ɂi	vv1gwohl2jvv23-i
ᎤᏓᏚᎸᎲᎢ	u¹dạ²du²lv²hv²³ɂi	uu1da2duu2lvv2hvv23-i
ᎣᏦᎵᎦ	o¹jo²li¹ga	oo1joo2lii1ga
ᎨᎾᏚᎸᏗ	ge²nạ²duhl²di	gee2na2duhl2di
ᎨᏓᏚᎸᏗ	ge²dạ²duhl²di	gee2da2duhl2di
ᎨᏣᏚᎳ	ge²jạ²du²³la²	gee2ja2duu23la2
ᎨᎩᎪᏩᏔ	ge²gi²go¹wah²ta²	gee2gii2goo1wah2ta2
ᎪᎩᎪᏩᏔ	go²gi²go¹wah²ta²	goo2gii2goo1wah2ta2
ᏕᎩᎪᎲᎢ	de³gi²go²hv²³ɂi	dee3gii2goo2hvv23-i
ᎪᏥᎪᏩᏔ	go²ji²go¹wah²ta²	goo2jii2goo1wah2ta2
ᏓᏂᎪᏩᏔ	da¹ni²go¹wah²ta²	daa1nii2goo1wah2ta2
ᏙᏥᎪᏩᏘᏍᎪᎢ	do¹ji²gowh²ti²³sgọ³ɂi	doo1jii2gowh2tii23sgo3-i
ᏙᎦᏚᎳ	do¹gạ²du²³la²	doo1ga2duu23la2
ᏍᎩᎾᏚᎳ	sgị²nạ²du²³la	sgi2na2duu23la
ᎡᏣᎪᏩᏔ	e¹jạ²go¹wah²ta²	ee1ja2goo1wah2ta2
ᎡᏍᏓᏚᎳ	e¹sdạ²du²³la²	ee1sda2duu23la2
ᎣᏍᏙᎵᎦ	o¹sdo²li¹ga	oo1sdoo2lii1ga
ᎨᏍᏓᏚᎳ	ge²sdạ²du²³la²	gee2sda2duu23la2
ᎢᏍᎩᏯᏚᎳ	i¹sgi²yạ²du²³la	ii1sgii2ya2duu23la
ᎦᎯᏯᏚᎳ	gạ²hi²yạ²du²³la	ga2hii2ya2duu23la
ᏍᏛᏲᎵᎪᎢ	sdv²yo²li²go³ɂi	sdvv2yoo2lii2goo3-i
ᏣᏓᏚᎸᎲᎢ	jạ²dạ²du²lv²hv²³ɂi	ja2da2duu2lvv2hvv23-i
ᎬᎩᎪᎲᎢ	gv²gi²go²hv²³ɂi	gvv2gii2goo2hvv23-i
ᎨᏣᎪᏩᏘᏍᎪᎢ	ge²jạ²gowh²ti²³sgọ³ɂi	gee2ja2gowh2tii23sgo3-i
ᎢᏨᏲᎵᎦ	i¹jv²yo²li¹ga²	ii1jvv2yoo2lii1ga2
ᏍᏓᏓᏚᎳ	sdạ²dạ²du²³la²	sdaa2da2duu23la2
ᎪᏍᏗᎪᏩᏔ	go²sdi²go¹wah²ta²	goo2sdii2goo1wah2ta2
ᎠᏆᏓᏚᎸᎲᎢ	a¹gwạ²dạ²du²lv²hv²³ɂi	aa1gwaa2da2duu2lvv2hvv23-i
ᎡᎩᎾᏚᎳ	e¹gị²nạ²du²³la²	ee1gi2na2duu23la2
ᎢᎦᏓᏚᎸᎲᎢ	i¹gạ²dạ²du²lv²hv²³ɂi	ii1ga2da2duu2lvv2hvv23-i
ᏕᎯᎪᏩᏘᏍᎪᎢ	de²hị²gowh²ti²³sgọ³ɂi	dee2hi2gowh2tii23sgo3-i
ᎢᏣᏓᏚᎳ	i¹jạ²dạ²du²³la²	ii1ja2da2duu23la2
ᎣᎦᏓᏚᎸᎲᎢ	o¹gạ²dạ²du²lv²hv²³ɂi	oo1ga2da2duu2lvv2hvv23-i
ᏕᏥᎪᏩᏘᏍᎪᎢ	de²jị²gowh²ti²³sgọ³ɂi	dee2ji2gowh2tii23sgo3-i
ᏕᏂᎪᏩᏘᏍᎪᎢ	de³ni²gowh²ti²³sgọ³ɂi	dee3nii2gowh2tii23sgo3-i
ᎤᎾᏓᏚᎸᎲᎢ	u¹nạ²dạ²du²lv²hv²³ɂi	uu1na2da2duu2lvv2hvv23-i
ᏕᏗᎪᏩᏘᏍᎪᎢ	de³di²gowh²ti²³sgọ³ɂi	dee3dii2gowh2tii23sgo3-i
ᎦᏥᏯᏚᎳ	gạ²ji²yạ²du²³la²	ga2jii2ya2duu23la2
ᏙᏍᏗᎪᏩᏘᏍᎪᎢ	do¹sdi²gowh²ti²³sgọ³ɂi	doo1sdii2gowh2tii23sgo3-i
ᏗᏣᏓᏚᎳ	dị²jạ²dạ²du²³la	di2ja2da2duu23la
ᏕᎦᏓᏚᎸᎲᎢ	de³gạ²dạ²du²lv²hv²³ɂi	dee3ga2da2duu2lvv2hvv23-i
ᏕᎩᏂᎪᎲᎢ	de²gị²ni²go²hv²³ɂi	dee2gi2nii2goo2hvv23-i
ᏙᎦᏓᏚᎸᎲᎢ	do¹gạ²dạ²du²lv²hv²³ɂi	doo1ga2da2duu2lvv2hvv23-i
ᏙᎩᎾᏚᎳ	do¹gị²nạ²du²³la²	doo1gi2na2duu23la2
ᏚᎾᏓᏚᎸᎲᎢ	du¹nạ²dạ²du²lv²hv²³ɂi	duu1na2da2duu2lvv2hvv23-i
ᎩᎾᏓᏚᎸᎲᎢ	gị²nạ²dạ²du²lv²hv²³ɂi	gi2na2da2duu2lvv2hvv23-i
ᎨᎩᏂᎪᏩᏔ	ge²gị²ni²go¹wah²ta²	gee2gi2nii2goo1wah2ta2
ᏗᏍᏓᏓᏚᎳ	dị²sdạ²dạ²du²³la	di2sdaa2da2duu23la
ᎪᎩᏂᎪᏩᏔ	go²gị²ni²go¹wah²ta²	goo2gi2nii2goo1wah2ta2
ᎣᎩᎾᏓᏚᎸᎲᎢ	o¹gị²nạ²dạ²du²lv²hv²³ɂi	oo1gi2na2da2duu2lvv2hvv23-i
ᏕᎩᎾᏓᏚᎸᎲᎢ	de²gị²nạ²dạ²du²lv²hv²³ɂi	dee2gi2na2da2duu2lvv2hvv23-i
ᏙᎩᎾᏓᏚᎸᎲᎢ	do¹gị²nạ²dạ²du²lv²hv²³ɂi	doo1gi2na2da2duu2lvv2hvv23-i
ᎡᎪᎢ	e³gọ³ɂi	ee3go3-i
ᎰᎵᎩ	hohl²gi	hohl2gi
ᎤᏤᎵᎢ	ụ²je²li⁴ɂi	uu2jee2lii4-i
ᏍᏛᏌ	sdv²³sa	sdvv23sa
ᏍᏉᎵᏨᎢ	sgwo²li²jv²³ɂi	sgwoo2lii2jvv23-i
ᏦᎵᎦ	johl²ga²	johl2ga2
ᎢᏨᏌ	i¹jv²³sa	ii1jvv23sa
ᎢᎩᎩᏍᏗ	i¹gi²gi¹sdi	ii1gii2gii1sdi
ᎣᎩᎩᏍᏗ	o¹gi²gi¹sdi	oo1gii2gii1sdi
ᎡᎦᏚᎸᏗ	e¹gạ²duhl²di	ee1ga2duhl2di
ᎤᏂᎮᏍᏗ	u¹ni²he³sdi	uu1nii2hee3sdi
ᏫᎨᎾ	wị²ge¹na	wi2gee1na
ᎠᏉᎵᎦ	a¹gwohl²ga²	aa1gwohl2ga2
ᎢᏃᎵᎩ	i¹nohl²gi	ii1nohl2gi
ᎡᎾᏚᎸᏗ	e¹nạ²duhl²di	ee1na2duhl2di
ᎢᏙᎵᎩ	i¹dohl²gi	ii1dohl2gi
ᎡᏓᏚᎸᏗ	e¹dạ²duhl²di	ee1da2duhl2di
ᎡᏣᏚᎸᏗ	e¹jạ²duhl²di	ee1ja2duhl2di
ᏗᎦᏤᎵᎢ	dị²gạ²je²li⁴ɂi	di2gaa2jee2lii4-i
ᎩᏂᎬᎢ	gị²ni²gv²³ɂi	gi2nii2gvv23-i
ᏗᏍᏗᎩᏍᏗ	dị²sdi²gi¹sdi	di2sdii2gii1sdi
ᏩᏃᎵᎩ	wa¹nohl²gi	waa1nohl2gi
ᎤᏓᏚᎵᏍᎪᎢ	u¹dạ²du²li²³sgọ³ɂi	uu1da2duu2lii23sgo3-i
ᎣᎩᏂᎩᏍᏗ	o¹gị²ni²gi¹sdi	oo1gi2nii2gii1sdi
ᎨᎪᎵᏨᎢ	ge²gohl²jv²³ɂi	gee2gohl2jvv23-i
ᏗᎩᎾᏤᎵᎢ	dị²gị²nạ²je²li⁴ɂi	di2gi2naa2jee2lii4-i
ᎣᏦᎵᎦ	o¹johl²ga	oo1johl2ga
ᎨᏣᏚᎸᏗ	ge²jạ²duhl²di	gee2ja2duhl2di
ᎪᎪᎵᏨᎢ	go²gohl²jv²³ɂi	goo2gohl2jvv23-i
ᎪᏦᎵᏨᎢ	go²johl²jv²³ɂi	goo2johl2jvv23-i
ᎬᏯᏚᎳ	gv²yạ²du²³la²	gvv2ya2duu23la2
ᎨᏂᎪᏩᏔ	ge²ni²go¹wah²ta	gee2nii2goo1wah2ta
ᏙᎩᎪᎲᎢ	do¹gi²go²hv²³ɂi	doo1gii2goo2hvv23-i
ᏧᏬᎵᏍᏗ	ju²wo²hlị³sdi	juu2woo2hli3sdi
ᏗᏣᏚᎳ	dị²jạ²du²³la	di2ja2duu23la
ᎨᏗᎪᏩᏔ	ge²di²go¹wah²ta	gee2dii2goo1wah2ta
ᏓᏆᏚᎵᎭ	da¹gwạ²du²lị³ha	daa1gwa2duu2li3ha
ᎡᏣᎪᏩᏛᏗ	e¹jạ²gowh²tvh³di	ee1ja2gowh2tvh3di
ᏕᏣᏚᎳ	de³jạ²du²³la²	dee3ja2duu23la2
ᏩᏥᎪᏩᏔ	wa¹jị²go¹wah²ta	waa1ji2goo1wah2ta
ᎡᏍᏓᏚᎸᏗ	e¹sdạ²duhl²di	ee1sda2duhl2di
ᎯᏲᎵᎪᎢ	hi²yo²li²go³ɂi	hii2yoo2lii2goo3-i
ᏚᎾᏚᎳ	du¹nạ²du²³la²	duu1na2duu23la2
ᎨᏍᏓᏚᎸᏗ	ge²sdạ²duhl²di	gee2sda2duhl2di
ᏥᏯᏚᎳ	ji²yạ²du²³la²	jii2ya2duu23la2
ᏮᎩᎪᏩᏔ	wv¹gị²go¹wah²ta	wvv1gi2goo1wah2ta
ᎪᏍᏙᎵᏨᎢ	go²sdohl²jv²³ɂi	goo2sdohl2jvv23-i
ᏍᎩᏂᎪᏩᏔ	sgị²ni²go¹wah²ta	sgi2nii2goo1wah2ta
ᎣᏍᏙᎵᎦ	o²sdohl²ga	oo2sdohl2ga
ᏣᏓᏚᎵᏍᎪᎢ	jạ²dạ²du²li²³sgọ³ɂi	ja2da2duu2lii23sgo3-i
ᏍᏓᏓᏚᎸᏗ	sdạ²dạ²duhl²di	sdaa2da2duhl2di
ᏍᏛᏲᎵᎪᎢ	sdv²yohl²go³ɂi	sdvv2yohl2goo3-i
ᏫᏗᎪᏩᏔ	wị²dị²go¹wah²ta	wi2di2goo1wah2ta
ᎢᏨᏲᎵᎦ	i¹jv²yohl²ga²	ii1jvv2yohl2ga2
ᎡᎩᎾᏚᎸᏗ	e¹gị²nạ²duhl²di	ee1gi2na2duhl2di
ᎠᏆᏓᏚᎵᏍᎪᎢ	a¹gwạ²dạ²du²li²³sgọ³ɂi	aa1gwaa2da2duu2lii23sgo3-i
ᎬᎩᎪᏩᏔ	gv²gi²go¹wah²ta²	gvv2gii2goo1wah2ta2
ᎨᎩᏃᎵᏨᎢ	ge²gị²nohl²jv²³ɂi	gee2gi2nohl2jvv23-i
ᎢᎦᏓᏚᎵᏍᎪᎢ	i¹gạ²dạ²du²li²³sgọ³ɂi	ii1ga2da2duu2lii23sgo3-i
ᎢᏣᏓᏚᎸᏗ	i¹jạ²dạ²duhl²di	ii1ja2da2duhl2di
ᎪᎩᏃᎵᏨᎢ	go²gị²nohl²jv²³ɂi	goo2gi2nohl2jvv23-i
ᎢᏍᎩᏲᎵᎪᎢ	i¹sgi²yohl²go³ɂi	ii1sgii2yohl2goo3-i
ᎣᎦᏓᏚᎵᏍᎪᎢ	o¹gạ²dạ²du²li²³sgọ³ɂi	oo1ga2da2duu2lii23sgo3-i
ᎦᎯᏲᎵᎪᎢ	gạ²hi²yohl²go³ɂi	ga2hii2yohl2goo3-i
ᎤᎾᏓᏚᎵᏍᎪᎢ	u¹nạ²dạ²du²li²³sgọ³ɂi	uu1na2da2duu2lii23sgo3-i
ᎦᏥᏯᏚᎸᏗ	gạ²ji²yạ²duhl²di	ga2jii2ya2duhl2di
ᏕᎦᏓᏚᎵᏍᎪᎢ	de³gạ²dạ²du²li²³sgọ³ɂi	dee3ga2da2duu2lii23sgo3-i
ᏫᏗᏃᎵᎩ	wị²dị²nohl²gi	wi2di2nohl2gi
ᏙᎦᏓᏚᎵᏍᎪᎢ	do¹gạ²dạ²du²li²³sgọ³ɂi	doo1ga2da2duu2lii23sgo3-i
ᏚᎾᏓᏚᎵᏍᎪᎢ	du¹nạ²dạ²du²li²³sgọ³ɂi	duu1na2da2duu2lii23sgo3-i
ᏙᎩᏂᎪᎲᎢ	do¹gị²ni²go²hv²³ɂi	doo1gi2nii2goo2hvv23-i
ᎩᎾᏓᏚᎵᏍᎪᎢ	gị²nạ²dạ²du²li²³sgọ³ɂi	gi2na2da2duu2lii23sgo3-i
ᎣᎩᎾᏓᏚᎵᏍᎪᎢ	o¹gị²nạ²dạ²du²li²³sgọ³ɂi	oo1gi2na2da2duu2lii23sgo3-i
ᏕᏣᏓᏙᎵᎪᎢ	de³jạ²da²dohl²go³ɂi	dee3ja2daa2dohl2goo3-i
