ᎤᎭ|ù:ha|u¹ha|He has something solid|uu1ha
ᏦᎩᏁᏗ|jò:gi:nehdi|jo¹gi²neh²di|For them and me to have a liquid|joo1gii2neh2di
ᎢᏗᎷᎦ|ì:di:lù:gā|i¹di²lu¹ga²|All of us recently climbed it|ii1dii2luu1ga2
ᏓᎩᏁᎰᎢ|dà:gine:hó:ɂi|da¹gị²ne²ho³ɂi|I usually have liquid things|daa1gi2nee2hoo3-i
ᏧᏂᏁᏗ|jù:ni:nehdi|ju¹ni²neh²di|For them to have a liquid|juu1nii2neh2di
ᎦᎴᎦ|gálè:ga|gạ³le¹ga|He is climbing it|ga3lee1ga
ᏕᏣᏁᎰᎢ|de:jane:hó:ɂi|de²jạ²ne²ho³ɂi|You (1) usually have liquid things|dee2ja2nee2hoo3-i
ᏦᎩᏂᏁᏗ|jò:gini:nehdi|jo¹gị²ni²neh²di|For him and me to have a liquid|joo1gi2nii2neh2di
ᏕᎩᏂᏁᎰᎢ|de:gini:ne:hó:ɂi|de²gị²ni²ne²ho³ɂi|You (1) and I usually have liquid things|dee2gi2nii2nee2hoo3-i
ᏕᎦᏯᎦ|de:gahyagā|de²gạ²hyạ²ga²|He recently ate flexible things|dee2ga2hya2ga2
ᏗᎫᏗᏔᏍᏗ|diga:di:tasdi|dị²ga²di²tạ²sdi|For all of us to drink drinks|di2gaa2dii2ta2sdi
ᏗᏣᏍᏗᎩᏍᏗ|dijasdǐ:gî:sdi|dị²jạ²sdi²³gi³²sdi|For you (1) to eat rod shaped things|di2ja2sdii23gii32sdi
ᏙᎩᏂᏁᎰᎢ|dò:gini:ne:hó:ɂi|do¹gị²ni²ne²ho³ɂi|He and I usually have liquid things|doo1gi2nii2nee2hoo3-i
ᏗᎩᏄᏗᏔᏍᏗ|digina:di:tasdi|dị²gị²na²di²tạ²sdi|For you (1) and me to drink drinks|di2gi2naa2dii2ta2sdi
ᏗᎩᏍᏗᎩᏍᏗ|dìgisdǐ:gî:sdi|dị¹gị²sdi²³gi³²sdi|For me to eat rod shaped things|di1gi2sdii23gii32sdi
ᎠᎾᏓᎪᏩᏘᏍᎪᎢ|à:nada:gowhtǐ:sgóɂi|a¹nạ²da²gowh²ti²³sgọ³ɂi|They are often seeing themselves|aa1naa2daa2gowh2tii23sgo3-i
ᎤᎾᎠ|ù:náɂa|u¹nạ³ɂa|He has something flexible|uu1na3-a
ᏕᎨᏣᎧᎰᎢ|de:ge:jakahó:ɂi|de²ge²jạ²kạ²ho³ɂi|They usually have you (1)|dee2gee2ja2ka2hoo3-i
ᏗᏥᎭᏗᏔ|dija:dǐ:ta|dị²ja²di²³ta|Let you all drink drinks|di2jaa2dii23ta
ᎢᎦᏓᏚᎵᎭ|ì:gadadu:líha|i¹gạ²dạ²du²lị³ha|All of us are wanting ourselves|ii1ga2da2duu2li3ha
ᎬᏯᎦᏙᏍᏗ|gv:yagà:tǒ:sdi|gv²yạ²ga¹to²³sdi|I am looking at you (1)|gvv2ya2gaa1too23sdi
ᎣᎦᏓᏚᎵᎭ|ò:gadadu:líha|o¹gạ²dạ²du²lị³ha|They and I are wanting ourselves|oo1ga2da2duu2li3ha
ᏥᏯᎦᏙᏍᏗ|ji:yagà:tǒ:sdi|ji²yạ²ga¹to²³sdi|I am looking at him|jii2ya2gaa1too23sdi
ᎤᎾᏓᏚᎵᎭ|ù:nadadu:líha|u¹nạ²dạ²du²lị³ha|They are wanting themselves|uu1na2da2duu2li3ha
ᎦᏥᏯᎦᏙᏍᏗ|gaji:yagà:tǒ:sdi|gạ²ji²yạ²ga¹to²³sdi|I am looking at them (animate)|ga2jii2ya2gaa1too23sdi
ᎣᎩᎾᏓᏚᎵᎭ|ò:ginadadu:líha|o¹gị²nạ²dạ²du²lị³ha|He and I are wanting ourselves|oo1gi2na2da2duu2li3ha
ᏕᏣᏓᎪᏩᏘᎭ|dé:jada:gowhtíha|de³jạ²da²gowh²tị³ha|You all are seeing each other|dee3ja2daa2gowh2ti3ha
ᏕᏍᏓᏓᎪᏩᏘᎭ|de:sdada:gowhtíha|de²sdạ²da²gowh²tị³ha|You both are seeing each other|dee2sdaa2daa2gowh2ti3ha
ᎠᎩᏘᏗ|à:gìtdi|a¹gị¹tdi|For me to bake something|aa1gi1tdi
ᏍᏗᎰᎢ|sdi:hó:ɂi|sdi²ho³ɂi|You both usually have something solid|sdii2hoo3-i
ᎢᏥᎰᎢ|ì:ji:hó:ɂi|i¹ji²ho³ɂi|You all usually have something solid|ii1jii2hoo3-i
ᎤᏓᏙᎵᏨᎢ|ù:da:dohljv̌:ɂi|u¹da²dohl²jv²³ɂi|He recognized himself a while ago|uu1daa2dohl2jvv23-i
ᏣᏓᏙᎵᏨᎢ|jada:dohljv̌:ɂi|jạ²da²dohl²jv²³ɂi|You (1) recognized yourself a while ago|ja2daa2dohl2jvv23-i
ᎠᏆᏓᏙᎵᏨᎢ|à:gwada:dohljv̌:ɂi|a¹gwạ²da²dohl²jv²³ɂi|I recognized myself a while ago|aa1gwaa2daa2dohl2jvv23-i
ᎢᏣᏓᏙᎵᎩ|ì:jada:dohlgi|i¹jạ²da²dohl²gi|Let you all recognize yourselves|ii1ja2daa2dohl2gi
ᏗᏍᏙᎵᏍᏗ|disdo:hlísdi|dị²sdo²hlị³sdi|For you both to understand things|di2sdoo2hli3sdi
ᏕᏥᎪᎲᎢ|dé:ji:go:hv̌:ɂi|de³ji²go²hv²³ɂi|You all saw them (inanimate) a while ago|dee3jii2goo2hvv23-i
ᏕᏍᏗᎪᎲᎢ|de:sdi:go:hv̌:ɂi|de²sdi²go²hv²³ɂi|You both saw them (inanimate) a while ago|dee2sdii2goo2hvv23-i
ᎤᏂᏥ|u:ni:ji|u²ni²ji|Their mother|uu2nii2ji
ᏕᎩᏁᎲᎢ|dé:gi:ne:hv̌:ɂi|de³gi²ne²hv²³ɂi|All of us had liquid things a while ago|dee3gii2nee2hvv23-i
ᏕᎦᏗᏔᏍᎦ|de:gà:di:tásga|de²ga¹di²tạ³sga|I am drinking drinks|dee2gaa1dii2ta3sga
ᎠᎾᏗᎭ|à:nadiha|a¹nạ²dị²ha|They are saying|aa1na2di2ha
ᏙᎩᏁᎲᎢ|dò:gi:ne:hv̌:ɂi|do¹gi²ne²hv²³ɂi|They and I had liquid things a while ago|doo1gii2nee2hvv23-i
ᎢᎾᏗᎭ|ì:nadiha|i¹nạ²dị²ha|You (1) and I are saying|ii1na2di2ha
ᏚᏂᏁᎲᎢ|dù:ni:ne:hv̌:ɂi|du¹ni²ne²hv²³ɂi|They had liquid things a while ago|duu1nii2nee2hvv23-i
ᎢᏓᏗᎭ|ì:dadiha|i¹dạ²dị²ha|All of us are saying|ii1da2di2ha
ᏓᎩᏁᎲᎢ|dà:gine:hv̌:ɂi|da¹gị²ne²hv²³ɂi|I had liquid things a while ago|daa1gi2nee2hvv23-i
ᎦᎷᎦ|galù:gā|gạ²lu¹ga²|He recently climbed it|ga2luu1ga2
ᏕᏣᏁᎲᎢ|de:jane:hv̌:ɂi|de²jạ²ne²hv²³ɂi|You (1) had liquid things a while ago|dee2ja2nee2hvv23-i
ᎠᏓᎦᏙᏍᏗᏍᎪᎢ|à:dà:ktǒ:sdí:sgó:ɂi|a¹da¹kto²³sdi³sgo³ɂi|He is often looking at himself|aa1daa1ktoo23sdii3sgoo3-i
ᏥᎴᎦ|jílè:ga|jị³le¹ga|I am climbing it|ji3lee1ga
ᏕᎩᏂᏁᎲᎢ|de:gini:ne:hv̌:ɂi|de²gị²ni²ne²hv²³ɂi|You (1) and I had liquid things a while ago|dee2gi2nii2nee2hvv23-i
ᎭᏓᎦᏙᏍᏗᏍᎪᎢ|hadà:ktǒ:sdí:sgó:ɂi|hạ²da¹kto²³sdi³sgo³ɂi|You (1) are often looking at yourself|haa2daa1ktoo23sdii3sgoo3-i
ᎠᎾᏓᎦᏙᏍᏗᏍᎪᎢ|à:nadà:ktǒ:sdí:sgó:ɂi|a¹nạ²da¹kto²³sdi³sgo³ɂi|They are often looking at themselves|aa1naa2daa1ktoo23sdii3sgoo3-i
ᏬᏍᏓᏓ|wò:sdada|wo¹sdạ²da|Let him and me say|woo1sda2da
ᎤᏁᎰᎢ|ù:ne:hó:ɂi|u¹ne²ho³ɂi|He usually has a liquid|uu1nee2hoo3-i
ᏕᎨᏣᎧᎲᎢ|de:ge:jakahv̌:ɂi|de²ge²jạ²kạ²hv²³ɂi|They had you (1) a while ago|dee2gee2ja2ka2hvv23-i
ꮷꮹᏟᏐᏗ|ju:wà:hlǐ:sóhdi|ju²wa¹hli²³soh³di|For him to gather things|juu2waa1hlii23soh3di
ᎢᎾᏓᎦᏙᏍᏗᏍᎪᎢ|ì:nadà:ktǒ:sdí:sgó:ɂi|i¹nạ²da¹kto²³sdi³sgo³ɂi|You (1) and I are often looking at ourselves|ii1na2daa1ktoo23sdii3sgoo3-i
ᏕᏣᏓᎧᎰᎢ|dé:jada:kahó:ɂi|de³jạ²da²kạ²ho³ɂi|You all usually have each other|dee3ja2daa2ka2hoo3-i
ᎣᎦᏓᏚᎸᎲᎢ|ò:gadadu:lv:hv̌:ɂi|o¹gạ²dạ²du²lv²hv²³ɂi|They and I wanted ourselves a while ago|oo1ga2da2duu2lvv2hvv23-i
ᎢᏓᏓᎦᏙᏍᏗᏍᎪᎢ|ì:dadà:ktǒ:sdí:sgó:ɂi|i¹dạ²da¹kto²³sdi³sgo³ɂi|All of us are often looking at ourselves|ii1da2daa1ktoo23sdii3sgoo3-i
ᎤᎾᏓᏚᎸᎲᎢ|ù:nadadu:lv:hv̌:ɂi|u¹nạ²dạ²du²lv²hv²³ɂi|They wanted themselves a while ago|uu1na2da2duu2lvv2hvv23-i
ᎣᏣᏓᎦᏙᏍᏗᏍᎪᎢ|ò:jadà:ktǒ:sdí:sgó:ɂi|o¹jạ²da¹kto²³sdi³sgo³ɂi|They and I are often looking at ourselves|oo1ja2daa1ktoo23sdii3sgoo3-i
ᎣᎩᎾᏓᏚᎸᎲᎢ|ò:ginadadu:lv:hv̌:ɂi|o¹gị²nạ²dạ²du²lv²hv²³ɂi|He and I wanted ourselves a while ago|oo1gi2na2da2duu2lvv2hvv23-i
ᎣᏍᏓᏓᎦᏙᏍᏗᏍᎪᎢ|ò:sdadà:ktǒ:sdí:sgó:ɂi|o¹sdạ²da¹kto²³sdi³sgo³ɂi|He and I are often looking at ourselves|oo1sda2daa1ktoo23sdii3sgoo3-i
ᏣᎦᏙᏍᏓ|jaktǒ:sdā|jạ²kto²³sda²|He recently looked at you (1)|ja2ktoo23sda2
ᎨᎦᏚᎵᎭ|ge:gadu:líha|ge²gạ²du²lị³ha|They are wanting all of us; They are wanted|gee2ga2duu2li3ha
ᎪᎦᏚᎵᎭ|go:gadu:líha|go²gạ²du²lị³ha|They are wanting them and me|goo2ga2duu2li3ha
ᎨᏍᏓᎦᏙᏍᏗ|ge:sdagà:tǒ:sdi|ge²sdạ²ga¹to²³sdi|You both are looking at them (animate); They are looking at you both|gee2sda2gaa1too23sdi
ᎬᏆᏚᎵᎭ|gv:gwadu:líha|gv²gwạ²du²lị³ha|They are wanting me|gvv2gwa2duu2li3ha
ᎠᏆᏓᏚᎵᎭ|à:gwadadu:líha|a¹gwạ²dạ²du²lị³ha|I am wanting myself|aa1gwaa2da2duu2li3ha
ᏍᏗᎲᎢ|sdi:hv̌:ɂi|sdi²hv²³ɂi|You both had something solid a while ago|sdii2hvv23-i
ᎨᎩᎾᏚᎵᎭ|ge:ginadu:líha|ge²gị²nạ²du²lị³ha|They are wanting you (1) and me|gee2gi2na2duu2li3ha
ᎢᏥᎲᎢ|ì:ji:hv̌:ɂi|i¹ji²hv²³ɂi|You all had something solid a while ago|ii1jii2hvv23-i
ᎪᎩᎾᏚᎵᎭ|go:ginadu:líha|go²gị²nạ²du²lị³ha|They are wanting him and me|goo2gi2na2duu2li3ha
ᏗᏣᎦᏙᏍᏓ|dijaktǒ:sda|dị²jạ²kto²³sda|Let you all look at them (inanimate)|di2ja2ktoo23sda
ꭼꮿᎧᎭ|gv:ya:káha|gv²ya²kạ³ha|I have you (1)|gvv2yaa2ka3ha
ꮵꮿᎧᎭ|ji:ya:káha|ji²ya²kạ³ha|I have something alive|jii2yaa2ka3ha
ᏓᏃᎵᎪᎢ|dà:nohlgó:ɂi|da¹nohl²go³ɂi|They usually understand things; They usually recognize them (animate)|daa1nohl2goo3-i
ꭶꮵꮿᎧᎭ|gaji:ya:káha|gạ²ji²ya²kạ³ha|I have living things|ga2jii2yaa2ka3ha
ᏕᏃᎵᎪᎢ|dé:nohlgó:ɂi|de³nohl²go³ɂi|You (1) and I usually understand things|dee3nohl2goo3-i
ᏕᏙᎵᎪᎢ|dé:dohlgó:ɂi|de³dohl²go³ɂi|All of us usually understand things|dee3dohl2goo3-i
ᏗᏍᏙᎵᎩ|disdohlgi|dị²sdohl²gi|Let you both understand things|di2sdohl2gi
ᏙᏦᎵᎪᎢ|dò:johlgó:ɂi|do¹johl²go³ɂi|They and I usually understand things|doo1johl2goo3-i
ᏙᏍᏙᎵᎪᎢ|dò:sdohlgó:ɂi|do¹sdohl²go³ɂi|He and I usually understand things|doo1sdohl2goo3-i
ᏕᏥᎪᏩᏔ|dé:ji:gò:wahtā|de³ji²go¹wah²ta²|You all recently saw them (inanimate)|dee3jii2goo1wah2ta2
ᏕᏍᏗᎪᏩᏔ|de:sdi:gò:wahtā|de²sdi²go¹wah²ta²|You both recently saw them (inanimate)|dee2sdii2goo1wah2ta2
ᎤᏙᏓ|u:do:da|u²do²da|His father|uu2doo2da
ᎩᏁᏅᏒᎢ|gine:nv́:sv̌:ɂi|gị²ne²nv³sv²³ɂi|You (1) and I went a while ago|gi2nee2nvv3svv23-i
ᏕᎭᏚᎩᎠ|de:hàtǔ:gía|de²hạ¹tu²³gị³a|You (1) are drinking alcoholic drinks|dee2ha1tuu23gi3a
ᏙᎩᏁᎭ|dò:gi:néha|do¹gi²nẹ³ha|They and I have liquid things|doo1gii2ne3ha
ᎨᏣᎦᏙᏍᏓ|gé:jagà:tǒ:sdā|ge³jạ²ga¹to²³sda²|They recently looked at you all|gee3ja2gaa1too23sda2
ᎪᏣᎦᏙᏍᏓ|go:jagà:tǒ:sdā|go²jạ²ga¹to²³sda²|They and I recently looked at them (animate)|goo2ja2gaa1too23sda2
ᏕᏍᏓᏓᏚᎵᏍᎪᎢ|de:sdadadu:lǐ:sgóɂi|de²sdạ²dạ²du²li²³sgọ³ɂi|You both usually are wanting each other|dee2sdaa2da2duu2lii23sgo3-i
ᎯᎴᎦ|hílè:ga|hị³le¹ga|You (1) are climbing it|hi3lee1ga
ᎤᏁᎲᎢ|ù:ne:hv̌:ɂi|u¹ne²hv²³ɂi|He had a liquid a while ago|uu1nee2hvv23-i
ᏕᏥᎮᏍᏗ|dé:ji:hé:sdi|de³ji²he³sdi|You all will be having solid things|dee3jii2hee3sdi
ᏕᏍᏗᎮᏍᏗ|de:sdi:hé:sdi|de²sdi²he³sdi|You both will be having solid things|dee2sdii2hee3sdi
ᎨᎦᏚᎸᎲᎢ|ge:gadu:lv:hv̌:ɂi|ge²gạ²du²lv²hv²³ɂi|They wanted all of us a while ago; They were wanted a while ago|gee2ga2duu2lvv2hvv23-i
ᏍᏛᎪᏩᏘᎭ|sdv:gowhtíha|sdv²gowh²tị³ha|I am seeing you both; We two are seeing you (1) or you both|sdvv2gowh2ti3ha
ᏕᎨᏂᎧᎭ|de:ge:ni:káha|de²ge²ni²kạ³ha|You (1) and I have living things|dee2gee2nii2ka3ha
ᏗᏥᎪᏩᏛᏗ|diji:gowhtv́hdi|dị²ji²gowh²tvh³di|For you all to see them (inanimate)|di2jii2gowh2tvh3di
ᎪᎵᎦ|gohlga|gohl²ga|He understands it; He recognizes him|gohl2ga
ᏕᎨᏗᎧᎭ|de:ge:di:káha|de²ge²di²kạ³ha|All of us have living things|dee2gee2dii2ka3ha
ᏕᎨᏥᎧᎭ|de:ge:ji:káha|de²ge²ji²kạ³ha|You all have living things; Someone has them|dee2gee2jii2ka3ha
ᏕᎨᏍᏗᎧᎭ|de:ge:sdi:káha|de²ge²sdi²kạ³ha|You both have living things; They have you both|dee2gee2sdii2ka3ha
ᏮᎩᎪᏩᏔ|wv̀:gigò:wahta|wv¹gị²go¹wah²ta|Let me be seen|wvv1gi2goo1wah2ta
ᏍᎩᏂᎪᏩᏔ|sgini:gò:wahta|sgị²ni²go¹wah²ta|Let you (1) or both see us both|sgi2nii2goo1wah2ta
ᎦᎯᏥ|gahi:ji|gạ²hi²ji|You one, their mother|ga2hii2ji
ᏕᏣᏅᏔ|de:janhta|de²jạ²nhta|You (1) know things|dee2ja2nhta
ᏚᎥᏰᏍᏗ|du:jv̌:yê:sdi|du²jv²³ye³²sdi|He will be having rod shaped things|duu2jvv23yee32sdi
ᎩᏁᏅᏍᏗ|gine:nv̀:sdi|gị²ne²nv¹sdi|For you (1) and me to go|gi2nee2nvv1sdi
ᏕᎩᏯᎥᎢ|dé:gi:hyá:ɂv̌:ɂi|de³gi²hya³ɂv²³ɂi|All of us ate flexible things a while ago|dee3gii2hyaa3-vv23-i
ᏓᏗᏔᏍᎪᎢ|dà:di:tasgó:ɂi|da¹di²tạ²sgo³ɂi|He usually is drinking drinks|daa1dii2ta2sgoo3-i
ᏕᎦᏚᎩᎠ|de:gaɂdǔ:gía|de²gạɂ²du²³gị³a|I am drinking alcoholic drinks|dee2ga-2duu23gi3a
ᏙᎩᏯᎥᎢ|dò:gi:hyá:ɂv̌:ɂi|do¹gi²hya³ɂv²³ɂi|They and I ate flexible things a while ago|doo1gii2hyaa3-vv23-i
ᏤᏅᏒᎢ|je:nv́:sv̌:ɂi|je²nv³sv²³ɂi|You (1) went a while ago|jee2nvv3svv23-i
ᏚᏂᏯᎥᎢ|dù:ni:hyá:ɂv̌:ɂi|du¹ni²hya³ɂv²³ɂi|They ate flexible things a while ago|duu1nii2hyaa3-vv23-i
ᎠᏇᏅᏒᎢ|à:gwe:nv́:sv̌:ɂi|a¹gwe²nv³sv²³ɂi|I went a while ago|aa1gwee2nvv3svv23-i
ᎯᎷᎦ|hilù:ga|hị²lu¹ga|Let you (1) climb it|hi2luu1ga
ᎠᏁᎪᎢ|à:né:góɂi|a¹ne³gọ³ɂi|They usually are going|aa1nee3go3-i
ᏓᎩᏯᎥᎢ|dà:gihyá:ɂv̌:ɂi|da¹gị²hya³ɂv²³ɂi|I ate flexible things a while ago|daa1gi2hyaa3-vv23-i
ᎣᎨᏅᏒᎢ|ò:ge:nv́:sv̌:ɂi|o¹ge²nv³sv²³ɂi|They and I went a while ago|oo1gee2nvv3svv23-i
ᏕᎩᏂᏯᎥᎢ|de:gini:hyá:ɂv̌:ɂi|de²gị²ni²hya³ɂv²³ɂi|You (1) and I ate flexible things a while ago|dee2gi2nii2hyaa3-vv23-i
ᎤᏁᏅᏒᎢ|ù:ne:nv́:sv̌:ɂi|u¹ne²nv³sv²³ɂi|They went a while ago|uu1nee2nvv3svv23-i
ᏙᎩᏂᏯᎥᎢ|dò:gini:hyá:ɂv̌:ɂi|do¹gị²ni²hya³ɂv²³ɂi|He and I ate flexible things a while ago|doo1gi2nii2hyaa3-vv23-i
ᎣᎩᏁᏅᏒᎢ|ò:gine:nv́:sv̌:ɂi|o¹gị²ne²nv³sv²³ɂi|He and I went a while ago|oo1gi2nee2nvv3svv23-i
ᏕᎩᎾᏓᎧᎮᏍᏗ|de:ginada:kahé:sdi|de²gị²nạ²da²kạ²he³sdi|You (1) and I will be having each other|dee2gi2na2daa2ka2hee3sdi
ᏗᏥᏍᏗᎩᏍᏗ|diji:sdǐ:gî:sdi|dị²ji²sdi²³gi³²sdi|For you all to eat rod shaped things|di2jii2sdii23gii32sdi
ᏗᏍᏓᏚᎩᏍᏗ|disdatǔ:gî:sdi|dị²sdạ²tu²³gi³²sdi|For you both to drink alcoholic drinks|di2sda2tuu23gii32sdi
ᏕᏥᎾᎠ|dé:ji:náɂa|de³ji²nạ³ɂa|You all have flexible things|dee3jii2na3-a
ᏕᏍᏗᎾᎠ|de:sdi:náɂa|de²sdi²nạ³ɂa|You both have flexible things|dee2sdii2na3-a
ᎢᏓᏚᎩ|ì:datǔ:gi|i¹dạ²tu²³gi|Let all of us drink something alcoholic|ii1da2tuu23gi
ᎨᏣᏚᎵᎭ|gé:jadu:líha|ge³jạ²du²lị³ha|They are wanting you all|gee3ja2duu2li3ha
ᎪᏣᏚᎵᎭ|go:jadu:líha|go²jạ²du²lị³ha|They and I are wanting them (animate)|goo2ja2duu2li3ha
ᎪᏍᏓᏚᎵᎭ|go:sdadu:líha|go²sdạ²du²lị³ha|He and I are wanting them (animate)|goo2sda2duu2li3ha
ᏍᏓᏓᏙᎵᏨᎢ|sdada:dohljv̌:ɂi|sdạ²da²dohl²jv²³ɂi|You both recognized yourselves a while ago|sdaa2daa2dohl2jvv23-i
ᎪᎵᎦ|gohlgā|gohl²ga²|He recently understood it; He recently recognized him|gohl2ga2
ᏩᏥᎪᏩᏔ|wà:jigò:wahta|wa¹jị²go¹wah²ta|Let him be seen|waa1ji2goo1wah2ta
ᏍᎩᏂᎪᏩᏔ|sgini:gò:wahta|sgị²ni²go¹wah²ta|Let you both see me|sgii2nii2goo1wah2ta
ᎬᏙᏓ|gv:do:da|gv²do²da|I, your father|gvv2doo2da
ᏚᎾᎣᎢ|du:náó:ɂi|du²nạ³o³ɂi|He usually has flexible things|duu2na3oo3-i
ᏕᎩᏚᏅᎢ|dé:gí:du:hnv̌:ɂi|de³gi³du²hnv²³ɂi|All of us baked things a while ago|dee3gii3duu2hnvv23-i
ᏤᏅᏍᏗ|je:nv̀:sdi|je²nv¹sdi|For you (1) to go|jee2nvv1sdi
ᏙᎩᏚᏅᎢ|dò:gí:du:hnv̌:ɂi|do¹gi³du²hnv²³ɂi|They and I baked things a while ago|doo1gii3duu2hnvv23-i
ᏕᎦᎭᏗᏔ|de:ga:dǐ:tā|de²ga²di²³ta²|I recently drank drinks|dee2gaa2dii23ta2
ᏓᎾᏚᎩᎠ|dà:nàtǔ:gía|da¹nạ¹tu²³gị³a|They are drinking alcoholic drinks|daa1na1tuu23gi3a
ᎠᏇᏅᏍᏗ|à:gwe:nv̀:sdi|a¹gwe²nv¹sdi|For me to go|aa1gwee2nvv1sdi
ᏚᏂᏚᏅᎢ|dù:ní:du:hnv̌:ɂi|du¹ni³du²hnv²³ɂi|They baked things a while ago|duu1nii3duu2hnvv23-i
ᏕᎾᏚᎩᎠ|dé:nàtǔ:gía|de³nạ¹tu²³gị³a|You (1) and I are drinking alcoholic drinks|dee3na1tuu23gi3a
ᎣᎨᏅᏍᏗ|ò:ge:nv̀:sdi|o¹ge²nv¹sdi|For them and me to go|oo1gee2nvv1sdi
ᏓᎩᏚᏅᎢ|dà:gídu:hnv̌:ɂi|da¹gị³du²hnv²³ɂi|I baked things a while ago|daa1gi3duu2hnvv23-i
ᏕᏓᏚᎩᎠ|dé:dàtǔ:gía|de³dạ¹tu²³gị³a|All of us are drinking alcoholic drinks|dee3da1tuu23gi3a
ᎨᎾᎦᏙᏍᏓ|ge:nagà:tǒ:sda|ge²nạ²ga¹to²³sda|Let you (1) and me look at them (animate)|gee2na2gaa1too23sda
ᎤᏁᏅᏍᏗ|ù:ne:nv̀:sdi|u¹ne²nv¹sdi|For them to go|uu1nee2nvv1sdi
ᎢᏁᎪᎢ|ì:né:góɂi|i¹ne³gọ³ɂi|You (1) and I usually are going|ii1nee3go3-i
ᏙᏣᏚᎩᎠ|dò:jàtǔ:gía|do¹jạ¹tu²³gị³a|They and I are drinking alcoholic drinks|doo1ja1tuu23gi3a
ᎨᏓᎦᏙᏍᏓ|ge:dagà:tǒ:sda|ge²dạ²ga¹to²³sda|Let all of us look at them (animate)|gee2da2gaa1too23sda
ᎢᏕᎪᎢ|ì:dé:góɂi|i¹de³gọ³ɂi|All of us usually are going|ii1dee3go3-i
ᎣᎩᏁᏅᏍᏗ|ò:gine:nv̀:sdi|o¹gị²ne²nv¹sdi|For him and me to go|oo1gi2nee2nvv1sdi
ᏙᏍᏓᏚᎩᎠ|dò:sdàtǔ:gía|do¹sdạ¹tu²³gị³a|He and I are drinking alcoholic drinks|doo1sda1tuu23gi3a
ᎨᏣᎦᏙᏍᏓ|ge:jagà:tǒ:sda|ge²jạ²ga¹to²³sda|Let you all look at them (animate)|gee2ja2gaa1too23sda
ᏕᏣᏯᎥᎢ|de:jahyá:ɂv̌:ɂi|de²jạ²hya³ɂv²³ɂi|You (1) ate flexible things a while ago|dee2ja2hyaa3-vv23-i
ᎢᎨᏅᏒᎢ|ì:ge:nv́:sv̌:ɂi|i¹ge²nv³sv²³ɂi|All of us went a while ago|ii1gee2nvv3svv23-i
ᏕᏍᏓᏓᎦᏙᏍᏔᏅᎢ|de:sdadà:ktǒ:stánv̌:ɂi|de²sdạ²da¹kto²³stạ³nv²³ɂi|You both looked at each other a while ago|dee2sdaa2daa1ktoo23sta3nvv23-i
ᎯᎷᎦ|hilù:gā|hị²lu¹ga²|You (1) recently climbed it|hi2luu1ga2
ᏕᏥᏁᎰᎢ|dé:ji:ne:hó:ɂi|de³ji²ne²ho³ɂi|You all usually have liquid things|dee3jii2nee2hoo3-i
ᎩᏂᏰᏍᏗ|gini:hyè:sdi|gị²ni²hye¹sdi|For you (1) and me to eat something flexible|gi2nii2hyee1sdi
ᏕᏍᏗᏁᎰᎢ|de:sdi:ne:hó:ɂi|de²sdi²ne²ho³ɂi|You both usually have liquid things|dee2sdii2nee2hoo3-i
ᏕᎩᎧᎰᎢ|dè:gi:kahó:ɂi|de¹gi²kạ²ho³ɂi|Someone often has you all and me|dee1gii2ka2hoo3-i
ᏕᏂᎧᎰᎢ|dè:ni:kahó:ɂi|de¹ni²kạ²ho³ɂi|You (1) and I usually have something alive|dee1nii2ka2hoo3-i
ᏕᏗᎧᎰᎢ|dè:di:kahó:ɂi|de¹di²kạ²ho³ɂi|All of us usually have something alive|dee1dii2ka2hoo3-i
ᎬᎪᏩᏘᎭ|gv:gowhtíha|gv²gowh²tị³ha|I am seeing you (1)|gvv2gowh2ti3ha
ᎨᏣᎦᏙᏍᏓ|ge:jaktǒ:sdā|ge²jạ²kto²³sda²|They recently looked at you (1)|gee2ja2ktoo23sda2
ᏕᏥᎧᎰᎢ|dè:ji:kahó:ɂi|de¹ji²kạ²ho³ɂi|You all usually have something alive; Someone often has you all|dee1jii2ka2hoo3-i
ᏥᎪᏩᏘᎭ|ji:gowhtíha|ji²gowh²tị³ha|I am seeing him|jii2gowh2ti3ha
ᏕᏍᏗᎧᎰᎢ|dè:sdi:kahó:ɂi|de¹sdi²kạ²ho³ɂi|You both usually have something alive; Someone often has you both|dee1sdii2ka2hoo3-i
ᏣᎪᏩᏘᎭ|jagowhtíha|jạ²gowh²tị³ha|He is seeing you (1)|ja2gowh2ti3ha
ᏕᎬᎩᎧᎰᎢ|de:gv:gikahó:ɂi|de²gv²gị²kạ²ho³ɂi|They usually have me|dee2gvv2gi2ka2hoo3-i
ᎦᏥᎪᏩᏘᎭ|gaji:gowhtíha|gạ²ji²gowh²tị³ha|I am seeing them (animate)|ga2jii2gowh2ti3ha
ᏕᎩᏂᎧᎰᎢ|dè:gini:kahó:ɂi|de¹gị²ni²kạ²ho³ɂi|Someone often has you (1) and me|dee1gi2nii2ka2hoo3-i
ᏍᏛᏯᏚᎵᎭ|sdv:yadu:líha|sdv²yạ²du²lị³ha|I am wanting you both; We two are wanting you (1) or you both|sdvv2ya2duu2li3ha
ᎦᎦᏙᏍᏗ|gagà:tǒ:sdi|gạ²ga¹to²³sdi|I am looking at it|ga2gaa1too23sdi
