ID|PSET|VSET|PRONOUN|VERB|GENDER|SYLLABARY|PRONOUNCE|ANSWER|FILENAME
|||Ꮳ|ᎠᎪᏩᏘᎭ||ᏣᎪᏩᏘᎭ|jagowhtíha|“He sees you.”|
||||||Ꮭ ᏱᏣᎪᏩᏘᎭ|hla yijagowhtíha|“He doesn't see you.”|
||||||Ꮭ ᏳᎭ|hla yǔ:ha|“He doesn't have it, something solid.”|
||||||Ꮭ ᏳᏂᎭ|hla yù:nǐ:ha|“They don't have it, something solid.”|
||||||Ꮭ ᏯᎩᎭ|hla yà:giha|“I don't have it, something solid.”|
||||||Ꮭ ᏱᏣᎭ|hla yijaha|“You don't have it, something solid.”|
||||||Ꮭ ᏳᏩᎧᎭ|hla yù:wa:káha|“He doesn't have it, something alive.”|
||||||Ꮭ ᏳᏂᎧᎭ|hla yù:ni:káha|“They don't have it, something alive.”|
||||||Ꮭ ᏯᎩᎧᎭ|hla yà:gikáha|“I don't have it, something alive.”|
||||||Ꮭ ᏱᏣᎧᎭ|hla yijakáha|“You don't have it, something alive.”|

#Chapter 19 ᏐᏁᎳᏚᏏᏁᎢ ᎠᏕᎶᏆᏍᏗ
|||ᎬᎩ|ᎠᎪᏩᏘᎭ||ᎬᎩᎪᏩᏘᎭ|gv:gigowhtíha|“They see me.”|Ꮭ ᏱᎬᎩᎪᏩᏘᎭ|hla yigv:gigowhtíha|“They don't see me.”|||ᎨᏣ|ᎠᎪᏩᏘᎭ||ᎨᏣᎪᏩᏘᎭ|ge:jagowhtíha|“They see you.”|Ꮭ ᏱᎨᏣᎪᏩᏘᎭ|hla yige:jagowhtíha|“They don't see you.”|||ᏚᎭ|ᎤᎭ||ᏚᎭ|dǔ:ha|“He has them, some solid things.”||||ᏚᏂ|ᎤᎭ||ᏚᏂᎭ|dù:nǐ:ha|“They have them, some solid things.”||||ᏓᎩ|ᎤᎭ||ᏓᎩᎭ|dà:giha|“I have them, some solid things.”||||ᏕᏣ|ᎤᎭ||ᏕᏣᎭ|de:jaha|“You have them, some solid things.”||||Ꮪ|ᎤᏩᎧᎭ||ᏚᏩᎧᎭ|dù:wa:káha|“He has them, some alive things.”||||ᏚᏂ|ᎤᏩᎧᎭ||ᏚᏂᎧᎭ|dù:ni:káha|“They have them, some alive things.”||||ᏓᎩ|ᎤᏩᎧᎭ||ᏓᎩᎧᎭ|dà:gikáha|“I have them, some alive things.”||||ᏕᏣ|ᎤᏩᎧᎭ||ᏕᏣᎧᎭ|de:jakáha|“You have them, some alive things.”|Ꮭ ᏱᏚᎭ|hla yidǔ:ha|“He doesn't have them, some solid things.”
||||||Ꮭ ᏱᏚᏂᎭ|hla yidù:nǐ:ha|“They don't have them, some solid things.”
||||||Ꮭ ᏱᏓᎩᎭ|hla yida:giha|“I don't have them, some solid things.”
||||||Ꮭ ᏱᏗᏣᎭ|hla yidi:jaha|“You don't have them, some solid things.”
||||||Ꮭ ᏱᏚᏩᎧᎭ|hla yidù:wa:káha|“He doesn't have them, some alive things.”
||||||Ꮭ ᏱᏚᏂᎧᎭ|hla yidù:ni:káha|“They don't have them, some alive things.”
||||||Ꮭ ᏱᏓᎩᎧᎭ|hla yida:gikáha|“I don't have them, some alive things.”
||||||Ꮭ ᏱᏗᏣᎧᎭ|hla yidi:jakáha|“You don't have them, some alive things.”

#Chapter 20 ᏔᎵᏍᎪᎯᏁᎢ ᎠᏕᎶᏆᏍᏗ
||||||ᎢᎩ|i̋:gi|“Is.” ☞ Is now or was just now.|
||||||ᎢᎦ|i̋:ga|“Is.” ☞ Now and ongoing.|
||||||ᎨᏐᎢ|gè:só:ɂi|“Usually is.”|
||||ᎨᏒᎢ||ᎨᏒᎢ|gè:sv̌:ɂi|“Being.”|
||||ᎨᏒᎩ||ᎨᏒᎩ|gè:sv̌:gi|“Was being.”|
||||ᎨᏎᎢ||ᎨᏎᎢ|gè:sé:ɂi|“Reportedly was being.”|
||||ᎨᎲᎢ||ᎨᎲᎢ|gè:hv̌:ɂi|“Been (a while ago).”|
||||ᎨᎲᎢ||ᎨᎲᎩ|gè:hv̌:gi|“Was (a while ago).”|
||||ᎨᎮᎢ||ᎨᎮᎢ|gè:hé:ɂi|“Reportedly was (a while ago).”|
||||ᎨᏎᏍᏗ||ᎨᏎᏍᏗ|gè:sé:sdi|“Will be being.”|

#Chapter 21 ᏔᎵᏍᎪ ᏌᏊᎯᏁᎢ ᎠᏕᎶᏆᏍᏗ
|||ᏥᏯ|ᎤᏚᎵᎭ||ᏥᏯᏚᎵᎭ|ji:ya:du:líha|“I want him.”|
|||ᎠᎩ|ᎤᏚᎵᎭ||ᎠᏆᏚᎵᎭ|à:gwadu:líha|“I want it. Or, He wants me.”|
|||ᎦᏥ|ᎤᏚᎵᎭ||ᎦᏥᏯᏚᎵᎭ|ga:ji:ya:du:líha|“I want them-animate.”|
|||ᏓᎩ|ᎤᏚᎵᎭ||ᏓᏆᏚᎵᎭ|dà:gwadu:líha|“I want them-inanimate.”|
|||ᎬᎩ|ᎤᏚᎵᎭ||ᎬᏆᏚᎵᎭ|gv̀:gwadu:líha|“They want me.”|
|||Ꭴ|ᎤᏚᎵᎭ||ᎤᏚᎵᎭ|ù:du:líha|“He wants him, it.”|
|||Ꮪ|ᎤᏚᎵᎭ||ᏚᏚᎵᎭ|dù:du:líha|“He wants them.”|
|||ᎯᏯ|ᎤᏚᎵᎭ||ᎯᏯᏚᎵᎭ|hi:ya:du:líha|“You want him.”|
|||Ꮳ|ᎤᏚᎵᎭ||ᏣᏚᎵᎭ|jadu:líha|“You want it. Or, He wants you.”|
|||ᎦᎯ|ᎤᏚᎵᎭ||ᎦᎯᏯᏚᎵᎭ|ga:hi:ya:du:líha|“You want them-animate.”|
|||ᏕᏣ|ᎤᏚᎵᎭ||ᏕᏣᏚᎵᎭ|de:jadu:líha|“You want them-inanimate.”|
|||ᎨᏣ|ᎤᏚᎵᎭ||ᎨᏣᏚᎵᎭ|ge:jadu:líha|“They want you.”|
|||ᎤᏂ|ᎤᏚᎵᎭ||ᎤᎾᏚᎵᎭ|ù:na:du:líha|“They want him, it.”|
|||ᏚᏂ|ᎤᏚᎵᎭ||ᏚᎾᏚᎵᎭ|dù:na:du:líha|“They want them.”|
||||||ᎠᏎᏃ|a:sé:hno|“But.”|
*||||||ᎠᏎᏅ|a:sé:hnv|“But.”|
||||ᎦᏍᎩᎶ||ᎦᏍᎩᎶ|ga:sgilo|“A table or a chair.”|
|||Ꮧ|ᎦᏍᎩᎶ||ᏗᎦᏍᎩᎶ|diga:sgilo|“Tables. Chairs.”|

#Chapter 22 ᏔᎵᏍᎪ ᏔᎵᏁᎢ ᎠᏕᎶᏆᏍᏗ
||||Ꭷ||Ꭷ|ka|“Hey now! Enough already! Hey! Sometimes hi!”.|
||||ᏄᎳ||ᏄᎳ|nű:la|“Hurry.”|
||||ᎢᏯᏂ||ᎢᏯᏂ|iyáni|“Count of animate.”|
||||ᎢᎦ||ᎢᎦ|ǐ:ga̋|“Count of inanimate.”|
||||ᎦᏍᎩᎸᎢ||ᎦᏍᎩᎸᎢ|ga:sgilv̋:ɂi|“On a chair or on a table.”|
*||||||ᏂᎦᏛ|niga̋:dv|“All. Everyone.”|
|||Ꭴ|ᎤᎵᏑᏫᏓ||ᎤᎵᏑᏫᏓ|ulsǔ:hwida|“Color.”|
|||ᎤᏂ|ᎤᎵᏑᏫᏓ||ᎤᎾᎵᏑᏫᏓ|u:nalsǔ:hwida|“Their color.”|
|||Ꮷ|ᎤᎵᏑᏫᏓ||ᏧᎵᏑᏫᏓ|julsǔ:hwida|“Their color.”|

*||||||ᎤᏂᏲ ᏪᏌ|u:niyő wě:sa|Bad cats|
*||||||Ꮎ ᎤᏲ ᎨᏒᎩ!|na u:yő gè:sv̌:gi|That was bad!|
*||||||Ꮎ ᎤᏂᏲ ᎠᏂᏴᏫ ᎨᏒᎩ!|na u:niyő ani:yv:wi gè:sv̌:gi|Those were bad people!|
*||||||ᎰᏩᏍ? ᎰᏩᏍ?|hő:sda. howas|Are you good? Is it ok?|
*||||||ᎭᏢ ᎠᏃᏍᏓ ᏴᏫ?|ha:dlv à:nő:sda yv:wi|Where are good people?|
*||||||ᎠᏃᏍᏓ ᏴᏫ Ꮭ ᎠᏂ ᏱᎩ!|à:nő:sda yv:wi hla áhni yi̋:gi|Good people aren't here!|
*||||||ᎤᎿᎾ?|ù:hnana|What about there?|
*||||||ᎠᏃᏍᏓ ᎠᏂᏴᏫ ᎤᎿ ᏱᎨᏎᏍᏗ!|à:nő:sda ani:yv:wi ù:hna yigè:sé:sdi|Maybe good people will be there!|
*||||||ᎠᏍᎦᏯ Ꮭ Ꮎ ᏯᎪᏩᏘᎭ ᎠᏴ ᎠᏂ!|asgaya hla na yà:gowhtíha ayv áhni|The man doesn't see that we are here!|
*||||||ᎰᏩ! ᎠᏴ ᎠᏂ!|howa ayv áhni|Alright! Here we are!|
*||||||ᎤᏂᏲ ᎠᏂᏴᏫ ᎠᏂ ᏱᎩ!|u:niyő ani:yv:wi áhni yi̋:gi|Bad people might be here!|
*||||||Ꮎ ᎤᏲ ᎨᏒᎩ ᏂᎯ!|na u:yő gè:sv̌:gi nihi|That was bad y'all!|
*||||||ᎭᏢ ᏴᏫ?|ha:dlv yv:wi|Where are the people?|
*||||||Ꮭ ᎠᏂ ᏱᎩ!|hla áhni yi̋:gi|Not here!|
*||||||ᎯᎠ ᎤᏲ!|hiɂa u:yő|This is bad!|
*||||||Ꮭ ᎾᏍᎩ ᏱᏥᎪᏩᏘᎭ!|hla nà:sgi yiji:gowhtíha|I don't see that!|
*||||||Ꭳ, Ꮭ ᎣᏍᏓ ᏱᎩ!|o:. hla ő:sda yi̋:gi|Oh, not good!|
*||||||ᏂᎯᏧ ᎤᎿ?|nihiju ù:hna|You're there, aren't you?|
*||||||Ꮭ ᏱᏥᎪᏩᏘᎭ!|hla yiji:gowhtíha|I don't see him or her!|
*||||||ᎭᏢ ᏂᎯ? ᏂᎯᏍ ᎤᎿ?|ha:dlv nihi. nihis ù:hna.|Where are you? Are you there?|
*||||||ᎯᎠ Ꮭ ᎣᏍᏓ ᏱᎩ!|hiɂa hla ő:sda yi̋:gi|This, it isn't good!|
*||||||ᏩᏙ! ᎤᎿ ᎤᏲ ᎨᏒᎩ!|wado. ù:hna u:yő gè:sv̌:gi|Thanks! It was bad there!|
*||||||ᎠᎩᏲ ᎠᏆᏚᎵᎭ.|agiyő à:gwadu:líha|I want to be bad.|
*||||||ᎠᎩᏲ ᎠᏆᏚᎵᎭ. ᏣᏲᏍ ᏣᏚᎵᎭ?|agiyő à:gwadu:líha. jayő jadu:líha|I want to be bad. Are you wanting to be bad?|
*||||||ᎠᏣᎳᎩ ᏪᏌ ᎨᏎᎢ! ᎠᎩᎵᏏ ᏪᏌ ᎨᏎᎢ!|ajalagi wě:sa gè:sé:ɂi. gili:si wě:sa gè:sé:ɂi|There was a Cherokee cat! There was a English cat!|
*||||||ᎣᏍᏓ ᏪᏌ ᎨᏎᎢ! ᎤᏲ ᏪᏌ ᎨᏎᎢ!|ő:sda wě:sa gè:sé:ɂi. u:yő wě:sa gè:sé:ɂi.|There was a good cat! There was a bad cat!|
*||||||Ꭳ Ꮭ! ᏴᏫ!|o hla. yvwi|Oh no! People!|
*||||||ᎤᏂᏲ ᎠᏂᏴᏫ ᎠᏂ!|u:niyő ani:yv:wi áhni|Bad people are here!|
*||||||ᏄᎳ! ᏄᎳ!|nű:la. nű:la.|Hurry! Hurry!|
*||||||ᎾᏍᎩ ᎠᏃᏍᏓ ᎩᏟ ᎠᎭᏂ ᎨᏒᎩ!|nà:sgi à:nő:sda gi:hli áhani gè:sv̌:gi|Those good dogs were here!|
*||||||Ꮎ ᏅᎩ ᎩᏟ ᎦᎯᏯᏚᎵᎭ.|na nvhgi gi:hli ga:hi:ya:du:líha|You are wanting those four dogs.|
*||||||ᏱᎩ.|yi̋:gi|Maybe.|
*||||||ᎦᏙ ᎤᏍᏗ ᎯᎠ!?!?|gadō u:sdi hiɂa|What's this!?!?|
*||||||Ꭳ! Ꮟ!|o:. si.|Oh! Wait!|
*||||||ᎯᎠ ᎣᏍᏓ!|hiɂa ő:sda|This is good!|
*||||||Ꮎ ᏪᏌ ᎠᏃᏍᏓ! ᎾᏍᎩ ᎦᏥᏯᏚᎵᎭ!|na wě:sa à:nő:sda. nà:sgi ga:ji:ya:du:líha|Those cats are good! I want them!|
*||||||ᎠᏂᏦ ᎤᏂᏲ ᏪᏌ. ᎠᏴ ᎨᏒᎩ.|a:nijo u:niyő wě:sa. ayv gè:sv̌:gi|Three bad cats.. we were.|

